,taxon_name_w_authors,v10_11_12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
620803,Panicum olivaceum Hitchc. & Chase,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium olivaceum (Hitchc. & Chase) Wipff,Dichanthelium olivaceum (Hitchc. & Chase) Wipff
620808,Panicum thurowii Scribn. & J.G.Sm.,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium thurowii (Scribn. & J.G.Sm.) Wipff,Dichanthelium thurowii (Scribn. & J.G.Sm.) Wipff
620809,Panicum shastense Scribn. & Merr.,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium shastense (Scribn. & Merr.) Wipff,Dichanthelium shastense (Scribn. & Merr.) Wipff
620811,Panicum glutinoscabrum Fernald,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium glutinoscabrum (Fernald) Wipff,Dichanthelium glutinoscabrum (Fernald) Wipff
620822,Panicum acuminatum var. thurowii (Scribn. & J.G.Sm.) C.F.Reed,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium acuminatum (Sw.) Gould & C.A.Clark,Dichanthelium thurowii (Scribn. & J.G.Sm.) Wipff,Dichanthelium thurowii (Scribn. & J.G.Sm.) Wipff
620884,Panicum brodiei H.St.John,Dichanthelium lanuginosum (Elliott) Gould,Dichanthelium lanuginosum (Elliott) Gould,Dichanthelium lanuginosum (Elliott) Gould,Dichanthelium lanuginosum (Elliott) Gould,Dichanthelium brodiei (H.St.John) Wipff,Dichanthelium brodiei (H.St.John) Wipff
620904,Panicum perlongum Nash,Dichanthelium linearifolium (Scribn.) Gould,Dichanthelium linearifolium (Scribn.) Gould,Dichanthelium linearifolium (Scribn.) Gould,Dichanthelium linearifolium (Scribn.) Gould,Dichanthelium perlongum (Nash) Freckmann,Dichanthelium perlongum (Nash) Freckmann
620921,Dichanthelium oligosanthes var. helleri (Nash) Mohlenbr.,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium helleri (Nash) Mohlenbr.,Dichanthelium helleri (Nash) Mohlenbr.
620922,Panicum oligosanthes var. helleri (Nash) Fernald,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium helleri (Nash) Mohlenbr.,Dichanthelium helleri (Nash) Mohlenbr.
620923,Dichanthelium helleri (Nash) Mohlenbr.,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium helleri (Nash) Mohlenbr.,Dichanthelium helleri (Nash) Mohlenbr.
620927,Panicum helleri Nash,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium oligosanthes (Schult.) Gould,Dichanthelium helleri (Nash) Mohlenbr.,Dichanthelium helleri (Nash) Mohlenbr.
620941,Panicum nashianum Scribn.,Dichanthelium portoricense (Desv.) B.F.Hansen & Wunderlin,Dichanthelium portoricense (Desv.) B.F.Hansen & Wunderlin,Dichanthelium portoricense (Desv.) B.F.Hansen & Wunderlin,Dichanthelium portoricense (Desv.) B.F.Hansen & Wunderlin,Dichanthelium lancearium (Trin.) Greuter & R.Rankin,Dichanthelium lancearium (Trin.) Greuter & R.Rankin
620942,Panicum lancearium Trin.,Dichanthelium portoricense (Desv.) B.F.Hansen & Wunderlin,Dichanthelium portoricense (Desv.) B.F.Hansen & Wunderlin,Dichanthelium portoricense (Desv.) B.F.Hansen & Wunderlin,Dichanthelium portoricense (Desv.) B.F.Hansen & Wunderlin,Dichanthelium lancearium (Trin.) Greuter & R.Rankin,Dichanthelium lancearium (Trin.) Greuter & R.Rankin
620992,Panicum pseudopubescens Nash,Dichanthelium villosissimum (Nash) Freckmann,Dichanthelium villosissimum (Nash) Freckmann,Dichanthelium ovale subsp. villosissimum (Nash) Freckmann & Lelong,Dichanthelium ovale (Elliott) Gould & C.A.Clark,Dichanthelium ovale subsp. pseudopubescens (Nash) Freckmann & Lelong,Dichanthelium ovale (Elliott) Gould & C.A.Clark
621115,Syntherisma sasakii Honda,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris (Retz.) Koeler,Digitaria henryi Rendle,Digitaria henryi Rendle
621146,Digitaria henryi Rendle,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris (Retz.) Koeler,Digitaria henryi Rendle,Digitaria henryi Rendle
621152,Digitaria sasakii (Honda) Tuyama,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris (Retz.) Koeler,Digitaria henryi Rendle,Digitaria henryi Rendle
621730,Eleusine coracana var. tocussa (Fresen.) Franch.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621731,Eleusine dagussa Schimp.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621732,Eleusine stricta Roxb.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621733,Eleusine reniformis Divak.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621734,Eleusine rigida Spreng.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621735,Eleusine ovalis Ehrenb. ex Sweet,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621736,Eleusine pilosa Gilli,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621737,Eleusine luco Welw.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621738,Eleusine tocussa Fresen.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621740,Eleusine tocussa var. erytroleuca Chiov.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621741,Eleusine tocussa var. erytromelana Chiov.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621742,Eleusine tocussa var. flavocarpa Chiov.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621743,Eleusine tocussa var. leucocarpa Chiov.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621744,Eleusine tocussa var. melanocarpa Chiov.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621745,Eleusine tocussa var. olivacea Chiov.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana (L.) Gaertn.,Eleusine coracana subsp. coracana,Eleusine coracana (L.) Gaertn.
621759,Triticum geminatum Spreng.,Eleusine indica (L.) Gaertn.,Eleusine indica (L.) Gaertn.,Eleusine indica (L.) Gaertn.,Eleusine indica (L.) Gaertn.,Eleusine tristachya (Lam.) Lam.,Eleusine tristachya (Lam.) Lam.
623455,Festuca ovina var. purpusiana St.-Yves,Festuca ovina L.,Festuca ovina L.,Festuca ovina L.,Festuca ovina L.,Festuca saximontana var. purpusiana (St.-Yves) Fred. & Pavlick,Festuca saximontana Rydb.
623469,Festuca dahurica subsp. mongolica S.R.Liou & Ma,Festuca dahurica (St.-Yves) V.I.Krecz. & Bobrov,Festuca dahurica (St.-Yves) V.I.Krecz. & Bobrov,Festuca dahurica (St.-Yves) V.I.Krecz. & Bobrov,Festuca dahurica (St.-Yves) V.I.Krecz. & Bobrov,Festuca mongolica (S.R.Liou & Ma) Y.Z.Zhao,Festuca mongolica (S.R.Liou & Ma) Y.Z.Zhao
623520,Festuca ovina var. ruprechtii Boiss.,Festuca ovina L.,Festuca ovina L.,Festuca ovina L.,Festuca ovina L.,Festuca ruprechtii (Boiss.) V.I.Krecz. & Bobrov,Festuca ruprechtii (Boiss.) V.I.Krecz. & Bobrov
623556,Festuca austrodolomitica Pils & Prosser,Festuca halleri All.,Festuca halleri All.,Festuca halleri All.,Festuca halleri All.,Festuca austrodolomitica Pils & Prosser,Festuca austrodolomitica Pils & Prosser
623650,Festuca petriei Howarth,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii subsp. matthewsii,Festuca matthewsii (Hack.) Cheeseman
623651,Festuca matthewsii subsp. aquilonia Connor,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii subsp. aquilonia Connor,Festuca matthewsii (Hack.) Cheeseman
623652,Festuca matthewsii subsp. latifundii Connor,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii subsp. latifundii Connor,Festuca matthewsii (Hack.) Cheeseman
623653,Festuca matthewsii subsp. pisamontis Connor,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii (Hack.) Cheeseman,Festuca matthewsii subsp. pisamontis Connor,Festuca matthewsii (Hack.) Cheeseman
623769,Festuca ovina subsp. ruprechtii (Boiss.) Tzvelev,Festuca ovina L.,Festuca ovina L.,Festuca ovina L.,Festuca ovina L.,Festuca ruprechtii (Boiss.) V.I.Krecz. & Bobrov,Festuca ruprechtii (Boiss.) V.I.Krecz. & Bobrov
623815,Festuca ruprechtii (Boiss.) V.I.Krecz. & Bobrov,Festuca ovina L.,Festuca ovina L.,Festuca ovina L.,Festuca ovina L.,Festuca ruprechtii (Boiss.) V.I.Krecz. & Bobrov,Festuca ruprechtii (Boiss.) V.I.Krecz. & Bobrov
623957,Festuca rubra var. squarrosa Hartm.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
623960,Festuca rubra var. villosa G.Mey.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
623971,Festuca rubra var. cinerea Heynh.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
623982,Festuca dumetorum var. caesia Fr.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
623990,Festuca rubra subsp. commutata Gaudin,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca nigrescens Lam.,Festuca nigrescens Lam.
624001,Festuca rubra f. fallax (Thuill.) Neuman,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca heteromalla Pourr.,Festuca heteromalla Pourr.
624003,Festuca rubra var. lanuginosa Mert. & W.D.J.Koch,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
624008,Festuca rubra var. magnelii (Litard.) Auquier,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
624023,Festuca rubra subsp. lanuginosa (Mert. & W.D.J.Koch) Piper,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
624026,Festuca rubra f. squarrosa (Hartm.) Holmb.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
624071,Festuca askelofiana Schult.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
624074,Festuca arenaria Osbeck,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
624092,Festuca lanuginosa (Mert. & W.D.J.Koch) Scheele,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
624109,Festuca rubra subvar. magnelii Litard.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
624111,Festuca villosa Schweigg.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca rubra L.,Festuca arenaria Osbeck,Festuca arenaria Osbeck
625062,Hordeum nekludowii R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625067,Hordeum nigrum Willd.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625069,Hordeum tetrastichum var. nudum Gray,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625070,Triticum hordeiforme Wall. ex Steud.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625071,Hordeum tetrastichum Stokes,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625072,Secale orientale Schreb. ex Roth,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625073,Hordeum vulgare var. tortile Ser.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625074,Hordeum transcaucasicum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625075,Hordeum parvum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625076,Hordeum hexastichon var. laxum Ser.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625077,Hordeum violaceum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625078,Hordeum hexastichon var. densum Ser.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625079,Hordeum coeleste var. barbatum Ser.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625080,Hordeum vulgare subsp. medioasiaticum Bachteev,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625081,Hordeum hexastichon var. mandshuricum Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625082,Hordeum vulgare convar. revelatum (Körn.) Tzvelev,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625083,Hordeum vulgare var. mandshuricum Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625085,Hordeum vulgare var. brachyura Alef.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625086,Hordeum vulgare var. abdulbasirovii Omarov,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625087,Hordeum vulgare var. bachteevii Omarov,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625088,Hordeum vulgare var. chungense Åberg,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625089,Hordeum vulgare var. coeleste L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625090,Hordeum vulgare var. glabriviride Trofim.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625091,Hordeum vulgare var. ismailii Omarov,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625092,Hordeum vulgare var. lukyanovae Omarov,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625093,Hordeum vulgare var. lvovii Omarov,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625094,Hordeum vulgare var. multispiculum Trofim.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625095,Hordeum septentrionale R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625096,Hordeum strobelense Chiov.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625097,Hordeum taganrocense R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625098,Hordeum tanaiticum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625099,Hordeum stassewitschii R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625100,Hordeum praecox Risso,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625101,Hordeum polystichon Haller,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625102,Hordeum polystichon var. hackelii Chiov.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625103,Hordeum pensanum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625104,Hordeum perversum Forssk.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625105,Hordeum pamiricum Vavilov,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625106,Hordeum pyramidatum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625107,Hordeum revelatum (Körn.) A.Schulz,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625108,Hordeum sativum var. trifurcatum Schltdl. ex Orlov & Åberg,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625109,Hordeum scabriusculum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625110,Hordeum sativum Pers.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625111,Hordeum lapponicum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625112,Hordeum michalkowii R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625113,Hordeum juliae R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625114,Hordeum kalugense R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625115,Hordeum karzinianum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625116,Hordeum leptostachys Griff.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625117,Hordeum mandshuricum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625118,Hordeum mandshuroides R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625119,Hordeum laevipaleatum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625120,Hordeum kiarchanum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625121,Hordeum elongatum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625122,Hordeum durum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625123,Hordeum jarenskianum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625124,Hordeum ircutianum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625125,Hordeum horsfordianum R.E.Regel,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
625126,Hordeum hexastichon L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare subsp. vulgare,Hordeum vulgare L.
